Word,Target,Pred_DT,Pred_KNN,Pred_Hyb,Pred_HMM,Failures
diliberto,D IH L IY B EH R T OW,D IH L IH B ER T OW,D IH L AY B ER T,D IH L IH B ER T OW,D IH L IH B ER T OW,4
mousel,M UW S EH L,M AW S AH L,M S AH L,M AW S AH L,M AW S AH L,4
periodontal,P EH R IY AH D AA N T AH L,P EH R IY OW D AA N T AH L,P EH R IY OW D AA N T AH L,P EH R IY OW D AA N T AH L,P EH R IY OW D AA N T AH L,4
stupidity,S T UW P IH D IH T IY,S T UW P D AH T IY,S T UW P AH D IH T IY,S T UW P D AH T IY,S T UW P D AH T IY,4
cannone,K AA N OW N IY,K AE N OW N,K AA N OW N,K AE N OW N,K AE N OW N,4
pawelek,P AA V EH L EH K,P AA V AH L IH K,P AA V L,P AA V AH L IH K,P AA V AH L IH K,4
kazee,K AA Z IY,K AE Z IY,K EY M IY,K AE Z,K AE Z IY,4
qatar,K AH T AA R,K AE T AA R,B AA T ER,K AE T AA R,K AE T AA R,4
notepad,N OW T P AE D,N OW T EH P AE D,N OW T EH P AH,N OW T EH P AE D,N OW T EH P AE D,4
dederick,D EH D ER IH K,D AH D ER IH K,D IY D ER IH K,D AH D ER IH K,D AH D ER IH K,4
shymanski,SH AH M AE N S K IY,SH AY M AE N S K IY,SH IH M AH N S K IY,SH AY M AE N S K IY,SH AY M AE N S K IY,4
landress,L AE N D R IH S,L AE N D R EH S,L AE N D R EH S,L AE N D R EH S,L AE N D R EH S,4
feyen,F AY N,F EY AY AH N,F N,F EY AY AH N,F EY AY AH N,4
yaohan,Y AW HH AA N,Y EY AH HH AA N,Y AE N AH N,Y EY AH HH AA N,Y EY AH HH AA N,4
thalamus,TH AE L AH M AH S,TH AA L AH M AH S,TH AH L AH M AH S,TH AA L AH M AH S,TH AA L AH M AH S,4
rozema,R AH Z IY M AH,R AA Z M AH,R OW Z M AH,R AA Z M AH,R AA Z M AH,4
onerous,OW N ER AH S,OW N EH AH S,OW V EH AH S,OW N EH AH S,OW N EH AH S,4
omission,OW M IH SH AH N,OW M AH SH AH N,AA M IH SH AH N,OW M AH SH AH N,OW M AH SH AH N,4
ineffectual,IH N AH F EH K CH UW AH L,IH N IH F EH K CH UW AH L,IH N AO F EH K T AH L,IH N IH F EH K CH UW AH L,IH N IH F EH K CH UW AH L,4
albania,AE L B EY N IY AH,AE L B AA N IY AH,AE L B AE N IY AH,AE L B AA N IY AH,AE L B AA N IY AH,4
xebec,Z EH B AH K,EH B IH K,HH EH B,EH B IH K,EH B IH K,4
vanwyhe,V AE N W AY HH,V AE N W IH HH,V AE N W P,V AE N W IH HH,V AE N W IH HH,4
elating,IH L EY T IH NG,IH L AH T IH NG,EH L EY T IH NG,IH L AH T IH NG,IH L AH T IH NG,4
termine,T ER M IH N,T ER M AH N,T ER M IY N,T ER M AH N,T ER M AH N,4
solemn,S AA L AH M,S OW L AH M,S AH L EH IY N,S OW L AH M,S OW L AH M,4
viansa,V IY AA N S AH,V IY AH N S AH,V IY AH N Z AH,V IY AH N S AH,V IY AH N S AH,4
kovaleski,K AH V AH L EH S K IY,K AH V AA L EH S K IY,K AH V EY L S K IY,K AH V AA L EH S K IY,K AH V AA L EH S K IY,4
waeltermann,W AA L T ER M AH N,W EH L T ER M AH N,W AO L T ER M AH N,W EH L T ER M AH N,W EH L T ER M AH N,4
jonas,JH OW N AH S,JH AA N AH Z,JH AA N AH Z,JH AA N AH Z,JH AA N AH Z,4
rini,R IY N IY,R IH N IY,R IH N IY,R IH N IY,R IH N IY,4
abingdon,AE B IH NG D AH N,AH B IH NG D AH N,AE B IH NG T AH N,AH B IH NG D AH N,AH B IH NG D AH N,4
eisa,EY S AH,AY S AH,AY S AH,AY S AH,AY S AH,4
aufhauser,AO F HH AW Z ER,F HH AW Z ER,AO AW HH S ER,F HH AW Z ER,F HH AW Z ER,4
whoo,W UW,UW,W HH OW,UW,UW,4
bronco,B R AA NG K OW,B R AA N K OW,B R AH N K OW,B R AA N K OW,B R AA N K OW,4
ragu,R AE G UW,R AA G UW,R AA G UW,R AA G UW,R AA G UW,4
iwate,AY W EY T,IY W AO T,S W AO T,IY W AO T,IY W AO T,4
chamberland,CH AE M B ER L AH N D,CH EY M B ER L AH N D,CH AA B ER L AH N D,CH EY M B ER L AH N D,CH EY M B ER L AH N D,4
blas,B L AA S,B L AH Z,B L AH S,B L AH Z,B L AH Z,4
kienast,K IY N AH S T,K AH N AE S T,K IY N AA S T,K AH N AE S T,K AH N AE S T,4
cangialosi,K AA N JH AH L OW S IY,K AA NG JH IY AH L OW S IY,K AA N AH L OW S IY,K AA NG JH IY AH L OW S IY,K AA NG JH IY AH L OW S IY,4
menaker,M EH N AH K ER,M EH N EY K ER,M EH N EY K ER,M EH N EY K ER,M EH N EY K ER,4
rapaport,R AE P AH P AO R T,R AA P AH P AO R T,R AA P AA P AO R T,R AA P AH P AO R T,R AA P AH P AO R T,4
cendejas,S EY N D EY Y AA Z,S EH N D IH JH AH Z,S EH N D AH JH AH Z,S EH N D IH JH AH Z,S EH N D IH JH AH Z,4
outshone,AW T SH OW N,AW CH OW N,AW T S AH N,AW CH SH OW N,AW CH OW N,4
putdown,P UH T D AW N,P AH T D AW N,P AH T D AW N,P AH T D AW N,P AH T D AW N,4
hydrick,HH IH D R IH K,HH AY D R IH K,HH AY D R IH K,HH AY D R IH K,HH AY D R IH K,4
lethality,L IY TH AE L AH T IY,L EH TH AE L AH T IY,L AH TH AH L AH T IY,L EH TH AE L AH T IY,L EH TH AE L AH T IY,4
geraldi,JH EH R AE L D IY,JH ER R AH L D IY,G EH AA L D IY,JH ER R AH L D IY,JH ER R AH L D IY,4
travenol,T R AE V AH N AH L,T R AE V AH N AO L,T R AE V EH N AO L,T R AE V AH N AO L,T R AE V AH N AO L,4
pontillo,P OW N T IH L OW,P AA N T IH L OW,P AA N T IH L OW,P AA N T IH L OW,P AA N T IH L OW,4
politico,P AH L IH T IH K OW,P AA L IH T IY K OW,P OW L IH T IH K OW,P AA L IH T IY K OW,P AA L IH T IY K OW,4
heiland,HH AY L AH N D,HH L AH N D,HH AY L AE N D,HH L AH N D,HH L AH N D,4
hewell,HH EH W EH L,HH Y W EH L,HH EH L,HH Y W EH L,HH Y W EH L,4
matabane,M AE T AH B EY N,M AA T AH B AA N,M AA T AH B AE N,M AA T AH B AA N,M AA T AH B AA N,4
wasmuth,W AO Z M UW TH,W AO Z M AH TH,W AA Z M TH,W AO Z M AH TH,W AO Z M AH TH,4
homefed,HH OW M F EH D,HH OW M EH F T,HH OW M AH T ER,HH OW M EH F T,HH OW M EH F T,4
amish,AA M IH SH,AH M IH SH,AH M IH SH,AH M IH SH,AH M IH SH,4
debugging,D IY B AH G IH NG,D EH B AH G IH NG,D EH B AH G IH NG,D EH B AH G IH NG,D EH B AH G IH NG,4
fierstein,F IY R S T IY N,F IH ER R S T AY N,F IH S T AY N,F IH ER R S T AY N,F IH ER R S T AY N,4
rehiring,R IY HH AY R IH NG,R IY HH IH R IH NG,R IY HH AY IH NG,R IY HH IH R IH NG,R IY HH IH R IH NG,4
comandeered,K AA M AH N D IY R D,K OW M AH N D IH R ER D,K AA M AH N D P ER D,K OW M AH N D IH R ER D,K OW M AH N D IH R ER D,4
outta,UW T AH,AW T T AH,AW T T AH,AW T T AH,AW T T AH,4
reciprocates,R IH S IH P R AH K EY T S,R AH S IH P R AH K EY T S,R IY S IH P R AH K EY T S,R AH S IH P R AH K EY T S,R AH S IH P R AH K EY T S,4
rubicon,R UW B IH K AO N,R UW B IH K AA N,R UW B IH K AA N,R UW B IH K AA N,R UW B IH K AA N,4
astronomy,AH S T R AA N AH M IY,AE S T R AA N AH M IY,AH S T R OW N AH M IY,AE S T R AA N AH M IY,AE S T R AA N AH M IY,4
bowsing,B AW Z IH NG,B OW S IH NG,B OW S IH NG,B OW S IH NG,B OW S IH NG,4
another,AH N AH DH ER,AH N AA DH ER,AE N AH DH ER,AH N AA TH ER,AH N AA DH ER,4
pigott,P IH G AH T,P IY G AA T,P IH G AA T,P IY G AA T,P IY G AA T,4
auditorium,AO D AH T AO R IY AH M,AO D IH T AO R IY AH M,AA D AH T AO R N AH M,AO D IH T AO R IY AH M,AO D IH T AO R IY AH M,4
domzalski,D AH M Z AA L S K IY,D AA M Z AA L S K IY,D AH M P AH L S K IY,D AA M Z AA L S K IY,D AA M Z AA L S K IY,4
dinoseb,D AY N OW S EH B,D IH N OW Z B,D IH N OW Z,D IH N OW Z B,D IH N OW Z B,4
abdullah,AE B D AH L AH,AE B D UW L AH,AA B D AH L AH,AE B D UW L AH,AE B D UW L AH,4
autoeurope,AO T OW Y UH R AH P,AO T AH UH R AH P,AO T OW UH R AH P,AO T AH UH R AH P,AO T AH UH R AH P,4
kweisi,K W AY Z IY,K W AY S IY,K W AY S IY,K W AY S IY,K W AY S IY,4
homogeneity,HH AA M AH JH AH N IY AH T IY,HH OW M AA JH EH N IY AH T IY,HH OW M AH G AH N S T IY,HH OW M AA JH EH N IY AH T IY,HH OW M AA JH EH N IY AH T IY,4
depth,D EH P TH,D IH P TH,D EH TH,D IH P TH,D IH P TH,4
developmental,D IH V EH L AH P M EH N T AH L,D IH V EH L AH P M AH N T AH L,D EH V EH L AA M AH N T AH L,D IH V EH L AH P M AH N T AH L,D IH V EH L AH P M AH N T AH L,4
wassenaar,W AO S IH N AA R,W AO S AH N AA R,W AO S AH N HH R,W AO S AH N AA R,W AO S AH N AA R,4
octial,AA K T Y AH L,AA K SH AH L,AA T AH L,AA K SH AH L,AA K SH AH L,4
rebuck,R EH B AH K,R IH B AH K,R IY D AE K,R IH B AH K,R IH B AH K,4
alejandro,AA L EY Y AA N D R OW,AH L EY Y AA N D R OW,AA L EY M AH N D R OW,AH L EY Y AA N D R OW,AH L EY Y AA N D R OW,4
deodorant,D IY OW D ER AH N T,D IY OW D AO R AA N T,D IY AH D AO R AH N T,D IY OW D AO R AA N T,D IY OW D AO R AA N T,4
beeton,B IY T AH N,B EY T AH N,B T AH N,B EY T AH N,B EY T AH N,4
morihiro,M AO R IY HH IH R OW,M AO R IY HH IY R OW,M AO R SH HH IH R OW,M AO R IY HH IY R OW,M AO R IY HH IY R OW,4
devol,D EH V AO L,D IH V OY L,D EH V AA L,D IH V OY L,D IH V OY L,4
armbrister,AA R M B ER IH S T ER,AA R M B R IH S T ER,AA R M B R IH S T ER,AA R M B R IH S T ER,AA R M B R IH S T ER,4
politeness,P AH L AY T N AH S,P AA L AY T N AH S,P OW L AH T N AH S,P AA L AY T N AH S,P AA L AY T N AH S,4
navarro,N AH V AA R OW,N AA V R OW,N EY V AA R OW,N AA V R OW,N AA V R OW,4
overreliance,OW V ER R IH L AY AH N S,OW V ER R AH L IY AH N S,OW V ER R AH L IY AH N S,OW V ER R AH L IY AH N S,OW V ER R AH L IY AH N S,4
jersey,JH ER Z IY,JH ER S IY,JH ER S IY,JH ER S IY,JH ER S IY,4
mezhdumarodnom,M EH Z D UW M AH R AA D N AH M,M EH Z D UW M AA ER AA D N AA M,M EH TH HH D M AA R AH D N AA M,M EH Z D UW M AA ER AA D N AA M,M EH Z D UW M AA ER AA D N AA M,4
carron,K AE R AH N,K AA R AH N,K AA R AH N,K AA R AH N,K AA R AH N,4
sublet,S AH B L EH T,S AH B L AH T,S AH B L IH T,S AH B L AH T,S AH B L AH T,4
hino,HH IY N OW,HH IH N OW,HH IH N OW,HH IH N OW,HH IH N OW,4
baisch,B AY SH,B EY SH,B EY IH SH,B EY SH CH,B EY SH,4
claren,K L AE R AH N,K L EH R AH N,K L EH R N,K L EH R AH N,K L EH R AH N,4
then,DH EH N,TH AH N,TH HH N,TH AH N,TH AH N,4
pitino,P AH T IY N OW,P IH T AH N OW,P IH T IY N OW,P IH T AH N OW,P IH T AH N OW,4
mahal,M AH HH AA L,M AA HH AA L,M AH HH AH L,M AA HH AA L,M AA HH AA L,4
franjo,F R AE N JH OW,F R AH N JH OW,F R AE N K OW,F R AH N JH OW,F R AH N JH OW,4
methazine,M EH TH AH Z IY N,M EH TH EY Z IY N,M AH TH AH R IY N,M EH TH EY Z IY N,M EH TH EY Z IY N,4
unenthusiastic,AH N IH N TH UW Z IY AE S T IH K,AH N EH N TH UW Z IY AE S T IH K,AH N EH N TH UW R K S T IH K,AH N EH N TH UW Z IY AE S T IH K,AH N EH N TH UW Z IY AE S T IH K,4
truro,T R UW R OW,T R UH R OW,T R R OW,T R UH R OW,T R UH R OW,4
pontificated,P AA N T IH F AH K EY T IH D,P AA N T IH F IH K EY T IH D,P AA N T IH F IH K EY T AH D,P AA N T IH F IH K EY T IH D,P AA N T IH F IH K EY T IH D,4
karimi,K AA R IY M IY,K EH ER IY M IY,K AA R IH M IY,K EH ER IY M IY,K EH ER IY M IY,4
moratorium,M AO R AH T AO R IY AH M,M AO ER AH T AO R IY AH M,M AO R AH T R N AH M,M AO ER AH T AO R IY AH M,M AO ER AH T AO R IY AH M,4
schutzman,SH AH T Z M AH N,SH AH T S M AH N,SH AH T S M AH N,SH CH AH T S M AH N,SH AH T S M AH N,4
borsuk,B AO R S AH K,B AO ER S UH K,B AO ER S K K,B AO ER S UH K,B AO ER S UH K,4
brasil,B R AE S AH L,B R EY Z AH L,B R AH S IH L,B R EY Z AH L,B R EY Z AH L,4
transference,T R AE N S F ER AH N S,T R AE N S F IH AH N S,T R AE N S T AH N S,T R AE N S F IH AH N S,T R AE N S F IH AH N S,4
jeered,JH IH R D,JH R ER D,JH EH ER D,JH R ER D,JH R ER D,4
pollett,P AA L IH T,P AA L EH T,P AA L EH T,P AA L EH T,P AA L EH T,4
archibald,AA R CH AH B AO L D,AA R K SH IY B AA L D,AA R K IH B AO L D,AA R CH IY B AA L D,AA R K SH IY B AA L D,4
tawes,T AO Z,T AO W Z,T AA W S,T AO W Z,T AO W Z,4
shortens,SH AO R T AH N Z,SH AO R T IH N Z,SH AO R T IH N Z,SH AO R T IH N Z,SH AO R T IH N Z,4
embezzler,IH M B EH Z AH L ER,EH M B EH Z AH L ER,IH M B ER K AH L ER,EH M B EH Z AH L ER,EH M B EH Z AH L ER,4
kalinoski,K AH L IH N AW S K IY,K AH L IH N AA S K IY,K AE L IY N OW S K IY,K AH L IH N AA S K IY,K AH L IH N AA S K IY,4
kasprzyk,K AA S P ER Z IH K,K AE S P ER Z IH K,K AE S P R EY K K,K AE S P ER Z IH K,K AE S P ER Z IH K,4
leibrand,L AY B R AE N D,L IY AY B R AE N D,L IY B R AE N D,L IY AY B R AE N D,L IY AY B R AE N D,4
carrithers,K AE R IH DH ER Z,K AA R IH TH ER Z,K AA R IH DH ER Z,K AA R IH TH ER Z,K AA R IH TH ER Z,4
daiquiri,D AE K ER IY,D IH G AY R IY,D EY K AY ER IY,D IH G AY R IY,D IH G AY R IY,4
devincent,D EY V IY N S AH N T,D EH V IH N S EH N T,D EH V IH N S EH N T,D EH V IH N S EH N T,D EH V IH N S EH N T,4
picaro,P IY K AA R OW,P IH K AA R OW,P IH K AA R OW,P IH K AA R OW,P IH K AA R OW,4
cotyledon,K AO T AH L IY D AH N,K AO T IH L IY D AH N,K AA T AY L M AH N,K AO T IH L IY D AH N,K AO T IH L IY D AH N,4
bugaj,B UW G AH JH,B AH G,B UW G AH,B AH G,B AH G,4
sceptre,S EH P T ER,S EH P T R ER,S K EH P T ER,S EH P T R,S EH P T R ER,4
hoben,HH AA B AH N,HH OW B AH N,HH OW B AH N,HH OW B AH N,HH OW B AH N,4
biochemist,B AY OW K EH M AH S T,B AY OW K EH M IH S T,B AY OW K EH M IH S T,B AY OW CH EH M IH S T,B AY OW K EH M IH S T,4
hettler,HH EH T L ER,HH EH T AH L ER,HH EH AH L ER,HH EH T AH L ER,HH EH T AH L ER,4
deaton,D IY T AH N,D EH T AH N,D EH T AH N,D EH T AH N,D EH T AH N,4
stagnating,S T AE G N EY T IH NG,S T AA G N EY T IH NG,S T EY N EY T IH NG,S T AA G N EY T IH NG,S T AA G N EY T IH NG,4
alessandro,AA L EY Z AA N D R OW,AH L EH S AA N D R OW,AA L AH S AE N D R OW,AH L EH S AA N D R OW,AH L EH S AA N D R OW,4
phagan,F EY G AH N,F AA G AH N,HH AH G AH N,F AA G AH N,F AA G AH N,4
sigal,S AY JH AH L,S IH G AH L,S IH K AH L,S IH G AH L,S IH G AH L,4
ivie,AY V IY,IH V IY,IH V IY,IH V,IH V IY,4
oceangoing,OW SH AH N G OW IH NG,OW SH AH NG G OW IH NG,OW SH IY AH NG G L IH NG,OW SH AH NG G OW IH NG,OW SH AH NG G OW IH NG,4
galactose,G AH L AE K T OW S,G AE L AE K T OW S,G AA L AA K T IH S,G AE L AE K T OW S,G AE L AE K T OW S,4
goates,G OW EY T S,G OW T S,G AA T S,G OW T S,G OW T S,4
lacourse,L AH K UH R S,L AA K R S,L AE K R S,L AA K R S,L AA K R S,4
ordaz,AO R D AA Z,AO ER D AA Z,AO R D AH ER,AO ER D AA Z,AO ER D AA Z,4
hypersensitivity,HH AY P ER S EH N S IH T IH V IH T IY,HH AY P ER S EH N S AH T IH V AH T IY,HH AY P ER S EH N S AH T IH V AH T IY,HH AY P ER S EH N S AH T IH V AH T IY,HH AY P ER S EH N S AH T IH V AH T IY,4
rouch,R AW CH,R CH,R CH,R CH,R CH,4
catering,K EY T ER IH NG,K AE T IH IH NG,K AE T IH IH NG,K AE T IH IH NG,K AE T IH IH NG,4
melanie,M EH L AH N IY,M EH L AA N IY,M EH L AE N IY,M EH L AA N,M EH L AA N IY,4
roehrs,R AO R Z,R OW R Z,R OW R Z,R OW R Z,R OW R Z,4
bouchard,B UW SH AA R D,B AW R D,B UW AA R D,B AW CH R D,B AW R D,4
noncompete,N AA N K AH M P IY T,N AA N K AH M P AH T,N AA N K AA M P AH T,N AA N K AH M P AH T,N AA N K AH M P AH T,4
gamino,G AA M IY N OW,G EY M IY N OW,G AE M IY N OW,G EY M IY N OW,G EY M IY N OW,4
masaya,M AA S AA Y AA,M AA S AH AH,M AA S AA AH,M AA S AH AH,M AA S AH AH,4
hasta,HH AE S T AH,HH EY S T AH,HH EY S T AH,HH EY S T AH,HH EY S T AH,4
jurgen,JH ER G AH N,JH ER JH AH N,JH AH ER JH AH N,JH ER JH AH N,JH ER JH AH N,4
kedrowski,K IH D R AO F S K IY,K EH D R AO F S K IY,K IY R AW S K IY,K EH D R AO F S K IY,K EH D R AO F S K IY,4
krier,K R AY ER,K R ER,K R IH ER,K R ER,K R ER,4
labaton,L AE B AH T AH N,L AA B AA T AH N,L AA B AH T AH N,L AA B AA T AH N,L AA B AA T AH N,4
oldsmar,OW L D Z M AA R,OW L D Z M R,OW L D Z M AH ER,OW L D Z M R,OW L D Z M R,4
deland,D IH L AE N D,D EH L AH N D,D AH L AH N D,D EH L AH N D,D EH L AH N D,4
belgian,B EH L JH AH N,B EH L JH IY AH N,B EH L L AH N,B EH L JH IY AH N,B EH L JH IY AH N,4
benights,B IY N AY T S,B EH N AY T S,B EH N IH T S,B EH N AY T S,B EH N AY T S,4
motherland,M AH DH ER L AE N D,M AH DH ER L AH N D,M AH DH ER L AH N D,M AH TH ER L AH N D,M AH DH ER L AH N D,4
disband,D IH S B AE N D,D IH S B AH N D,D IH S K AE N D,D IH S B AH N D,D IH S B AH N D,4
opportunities,AA P ER T UW N AH T IY Z,AA P AO ER CH UW N IH T IY Z,AA P ER T UW N IH T IY Z,AA P AO ER CH UW N IH T IY Z,AA P AO ER CH UW N IH T IY Z,4
cortisol,K AO R T IH S AO L,K AO R T AH S AO L,K AO R T IH S AH N,K AO R T AH S AO L,K AO R T AH S AO L,4
wino,W IY N OW,W IH N OW,W IH N OW,W IH N OW,W IH N OW,4
hildemar,HH IH L D IH M ER,HH IH L D M AA R,HH IH L D IH M AA ER,HH IH L D M AA R,HH IH L D M AA R,4
ceniceros,S EY N IY S EH R OW Z,S EH N IY S EH OW Z,S EH N IH K EH R OW Z,S EH N IY S EH OW Z,S EH N IY S EH OW Z,4
chicagoans,SH AH K AA G OW AH N Z,CH IH K AA G OW N Z,CH IH K R AH N Z,CH IH K AA G OW N Z,CH IH K AA G OW N Z,4
maze,M EY Z,M AH Z,M AH R,M AH Z,M AH Z,4
frieson,F R IY Z AH N,F R IY S AH N,F R IY S AH N,F R IY S AH N,F R IY S AH N,4
schempf,SH EH M F,SH EH M P F,SH EH M P F,SH CH EH M P F,SH EH M P F,4
schnurr,SH N ER,SH N R ER,SH B N,SH CH N R ER,SH N R ER,4
stepmom,S T EH P M AA M,S T EH P M AH M,S T EH M AH M,S T EH P M AH M,S T EH P M AH M,4
douthett,D AW TH IH T,D AW UW DH EH T,D DH EH T,D AW UW TH EH T,D AW UW DH EH T,4
wellendorf,W EH L IH N D AO R F,W EH L EH N D AO R F,W EH L EH N D AO R F,W EH L EH N D AO R F,W EH L EH N D AO R F,4
ostrem,AA S T R IH M,AA S T R AH M,AA S T R EH D,AA S T R AH M,AA S T R AH M,4
landscaping,L AE N D S K EY P IH NG,L AE N D S K AE P IH NG,L AE N D S K AE R IH NG,L AE N D S K AE P IH NG,L AE N D S K AE P IH NG,4
ethelyn,EH TH IH L IH N,EH TH L IH N,EH TH EH L IY N,EH TH L IH N,EH TH L IH N,4
jiminez,HH IH M EH N EH Z,JH IH M AY N EH Z,HH IH M AH N IY Z,JH IH M AY N EH Z,JH IH M AY N EH Z,4
mccurdy,M AH K ER D IY,M AH K R D IY,M AH K R D IY,M AH K R D IY,M AH K R D IY,4
jagow,Y AA G OW,JH AA G AW,L AA G AH,JH AA G AW,JH AA G AW,4
femina,F EH M IH N AH,F IY M AH N AH,F EH M AH N AH,F IY M AH N AH,F IY M AH N AH,4
thurstan,TH ER S T AH N,TH ER S T AE N,TH ER ER S T AE N,TH ER S T AE N,TH ER S T AE N,4
