Word,Target,Pred_DT,Pred_Hyb,Pred_HMM,Failures
dederick,D EH D ER IH K,D AH D ER IH K,D AH D ER IH K,D AH D ER IH K,3
shymanski,SH AH M AE N S K IY,SH AY M AE N S K IY,SH AY M AE N S K IY,SH AY M AE N S K IY,3
kitzmiller,K IH T S M IH L ER,K IH T Z M IH L ER,K IH T Z M IH L ER,K IH T Z M IH L ER,3
landress,L AE N D R IH S,L AE N D R EH S,L AE N D R EH S,L AE N D R EH S,3
compost,K AA M P OW S T,K AH M P AO S T,K AH M P AO S T,K AH M P AO S T,3
feyen,F AY N,F EY AY AH N,F EY AY AH N,F EY AY AH N,3
yaohan,Y AW HH AA N,Y EY AH HH AA N,Y EY AH HH AA N,Y EY AH HH AA N,3
thalamus,TH AE L AH M AH S,TH AA L AH M AH S,TH AA L AH M AH S,TH AA L AH M AH S,3
rozema,R AH Z IY M AH,R AA Z M AH,R AA Z M AH,R AA Z M AH,3
onerous,OW N ER AH S,OW N EH AH S,OW N EH AH S,OW N EH AH S,3
omission,OW M IH SH AH N,OW M AH SH AH N,OW M AH SH AH N,OW M AH SH AH N,3
ineffectual,IH N AH F EH K CH UW AH L,IH N IH F EH K CH UW AH L,IH N IH F EH K CH UW AH L,IH N IH F EH K CH UW AH L,3
albania,AE L B EY N IY AH,AE L B AA N IY AH,AE L B AA N IY AH,AE L B AA N IY AH,3
xebec,Z EH B AH K,EH B IH K,EH B IH K,EH B IH K,3
vanwyhe,V AE N W AY HH,V AE N W IH HH,V AE N W IH HH,V AE N W IH HH,3
elating,IH L EY T IH NG,IH L AH T IH NG,IH L AH T IH NG,IH L AH T IH NG,3
termine,T ER M IH N,T ER M AH N,T ER M AH N,T ER M AH N,3
solemn,S AA L AH M,S OW L AH M,S OW L AH M,S OW L AH M,3
viansa,V IY AA N S AH,V IY AH N S AH,V IY AH N S AH,V IY AH N S AH,3
kovaleski,K AH V AH L EH S K IY,K AH V AA L EH S K IY,K AH V AA L EH S K IY,K AH V AA L EH S K IY,3
waeltermann,W AA L T ER M AH N,W EH L T ER M AH N,W EH L T ER M AH N,W EH L T ER M AH N,3
jonas,JH OW N AH S,JH AA N AH Z,JH AA N AH Z,JH AA N AH Z,3
rini,R IY N IY,R IH N IY,R IH N IY,R IH N IY,3
abingdon,AE B IH NG D AH N,AH B IH NG D AH N,AH B IH NG D AH N,AH B IH NG D AH N,3
eisa,EY S AH,AY S AH,AY S AH,AY S AH,3
aufhauser,AO F HH AW Z ER,F HH AW Z ER,F HH AW Z ER,F HH AW Z ER,3
whoo,W UW,UW,UW,UW,3
bronco,B R AA NG K OW,B R AA N K OW,B R AA N K OW,B R AA N K OW,3
ragu,R AE G UW,R AA G UW,R AA G UW,R AA G UW,3
kreiner,K R AY N ER,K R EY AY N ER,K R EY AY N ER,K R EY AY N ER,3
iwate,AY W EY T,IY W AO T,IY W AO T,IY W AO T,3
chamberland,CH AE M B ER L AH N D,CH EY M B ER L AH N D,CH EY M B ER L AH N D,CH EY M B ER L AH N D,3
blas,B L AA S,B L AH Z,B L AH Z,B L AH Z,3
kienast,K IY N AH S T,K AH N AE S T,K AH N AE S T,K AH N AE S T,3
cangialosi,K AA N JH AH L OW S IY,K AA NG JH IY AH L OW S IY,K AA NG JH IY AH L OW S IY,K AA NG JH IY AH L OW S IY,3
collings,K AA L IH NG Z,K AH L IH NG Z,K AH L IH NG Z,K AH L IH NG Z,3
menaker,M EH N AH K ER,M EH N EY K ER,M EH N EY K ER,M EH N EY K ER,3
rapaport,R AE P AH P AO R T,R AA P AH P AO R T,R AA P AH P AO R T,R AA P AH P AO R T,3
cendejas,S EY N D EY Y AA Z,S EH N D IH JH AH Z,S EH N D IH JH AH Z,S EH N D IH JH AH Z,3
outshone,AW T SH OW N,AW CH OW N,AW CH SH OW N,AW CH OW N,3
putdown,P UH T D AW N,P AH T D AW N,P AH T D AW N,P AH T D AW N,3
hydrick,HH IH D R IH K,HH AY D R IH K,HH AY D R IH K,HH AY D R IH K,3
lethality,L IY TH AE L AH T IY,L EH TH AE L AH T IY,L EH TH AE L AH T IY,L EH TH AE L AH T IY,3
geraldi,JH EH R AE L D IY,JH ER R AH L D IY,JH ER R AH L D IY,JH ER R AH L D IY,3
travenol,T R AE V AH N AH L,T R AE V AH N AO L,T R AE V AH N AO L,T R AE V AH N AO L,3
pontillo,P OW N T IH L OW,P AA N T IH L OW,P AA N T IH L OW,P AA N T IH L OW,3
politico,P AH L IH T IH K OW,P AA L IH T IY K OW,P AA L IH T IY K OW,P AA L IH T IY K OW,3
heiland,HH AY L AH N D,HH L AH N D,HH L AH N D,HH L AH N D,3
hewell,HH EH W EH L,HH Y W EH L,HH Y W EH L,HH Y W EH L,3
matabane,M AE T AH B EY N,M AA T AH B AA N,M AA T AH B AA N,M AA T AH B AA N,3
wasmuth,W AO Z M UW TH,W AO Z M AH TH,W AO Z M AH TH,W AO Z M AH TH,3
homefed,HH OW M F EH D,HH OW M EH F T,HH OW M EH F T,HH OW M EH F T,3
kisiel,K IH S IY L,K IY S IY EH L,K IY S IY EH L,K IY S IY EH L,3
amish,AA M IH SH,AH M IH SH,AH M IH SH,AH M IH SH,3
debugging,D IY B AH G IH NG,D EH B AH G IH NG,D EH B AH G IH NG,D EH B AH G IH NG,3
fierstein,F IY R S T IY N,F IH ER R S T AY N,F IH ER R S T AY N,F IH ER R S T AY N,3
spivak,S P IH V AH K,S P IH V AE K,S P IH V AE K,S P IH V AE K,3
rehiring,R IY HH AY R IH NG,R IY HH IH R IH NG,R IY HH IH R IH NG,R IY HH IH R IH NG,3
comandeered,K AA M AH N D IY R D,K OW M AH N D IH R ER D,K OW M AH N D IH R ER D,K OW M AH N D IH R ER D,3
outta,UW T AH,AW T T AH,AW T T AH,AW T T AH,3
kallenberger,K AO L AH N B ER G ER,K AE L AH N B ER G ER,K AE L AH N B ER G ER,K AE L AH N B ER G ER,3
reciprocates,R IH S IH P R AH K EY T S,R AH S IH P R AH K EY T S,R AH S IH P R AH K EY T S,R AH S IH P R AH K EY T S,3
rubicon,R UW B IH K AO N,R UW B IH K AA N,R UW B IH K AA N,R UW B IH K AA N,3
astronomy,AH S T R AA N AH M IY,AE S T R AA N AH M IY,AE S T R AA N AH M IY,AE S T R AA N AH M IY,3
bowsing,B AW Z IH NG,B OW S IH NG,B OW S IH NG,B OW S IH NG,3
inadmissibly,IH N AH D M IH S AH B L IY,IH N EY D M IH S AH B L IY,IH N EY D M IH S AH B L IY,IH N EY D M IH S AH B L IY,3
another,AH N AH DH ER,AH N AA DH ER,AH N AA TH ER,AH N AA DH ER,3
pigott,P IH G AH T,P IY G AA T,P IY G AA T,P IY G AA T,3
auditorium,AO D AH T AO R IY AH M,AO D IH T AO R IY AH M,AO D IH T AO R IY AH M,AO D IH T AO R IY AH M,3
leninist,L EH N IH N IH S T,L EH N IY N AH S T,L EH N IY N AH S T,L EH N IY N AH S T,3
domzalski,D AH M Z AA L S K IY,D AA M Z AA L S K IY,D AA M Z AA L S K IY,D AA M Z AA L S K IY,3
dinoseb,D AY N OW S EH B,D IH N OW Z B,D IH N OW Z B,D IH N OW Z B,3
abdullah,AE B D AH L AH,AE B D UW L AH,AE B D UW L AH,AE B D UW L AH,3
autoeurope,AO T OW Y UH R AH P,AO T AH UH R AH P,AO T AH UH R AH P,AO T AH UH R AH P,3
novitski,N AH V IH T S K IY,N OW V IH T S K IY,N OW V IH T S K IY,N OW V IH T S K IY,3
kweisi,K W AY Z IY,K W AY S IY,K W AY S IY,K W AY S IY,3
homogeneity,HH AA M AH JH AH N IY AH T IY,HH OW M AA JH EH N IY AH T IY,HH OW M AA JH EH N IY AH T IY,HH OW M AA JH EH N IY AH T IY,3
depth,D EH P TH,D IH P TH,D IH P TH,D IH P TH,3
developmental,D IH V EH L AH P M EH N T AH L,D IH V EH L AH P M AH N T AH L,D IH V EH L AH P M AH N T AH L,D IH V EH L AH P M AH N T AH L,3
kauth,K AO TH,K TH,K TH,K TH,3
wassenaar,W AO S IH N AA R,W AO S AH N AA R,W AO S AH N AA R,W AO S AH N AA R,3
octial,AA K T Y AH L,AA K SH AH L,AA K SH AH L,AA K SH AH L,3
rebuck,R EH B AH K,R IH B AH K,R IH B AH K,R IH B AH K,3
absorb,AH B Z AO R B,AE B Z AO R B,AE B Z AO R B,AE B Z AO R B,3
alejandro,AA L EY Y AA N D R OW,AH L EY Y AA N D R OW,AH L EY Y AA N D R OW,AH L EY Y AA N D R OW,3
deodorant,D IY OW D ER AH N T,D IY OW D AO R AA N T,D IY OW D AO R AA N T,D IY OW D AO R AA N T,3
beeton,B IY T AH N,B EY T AH N,B EY T AH N,B EY T AH N,3
morihiro,M AO R IY HH IH R OW,M AO R IY HH IY R OW,M AO R IY HH IY R OW,M AO R IY HH IY R OW,3
devol,D EH V AO L,D IH V OY L,D IH V OY L,D IH V OY L,3
armbrister,AA R M B ER IH S T ER,AA R M B R IH S T ER,AA R M B R IH S T ER,AA R M B R IH S T ER,3
politeness,P AH L AY T N AH S,P AA L AY T N AH S,P AA L AY T N AH S,P AA L AY T N AH S,3
navarro,N AH V AA R OW,N AA V R OW,N AA V R OW,N AA V R OW,3
overreliance,OW V ER R IH L AY AH N S,OW V ER R AH L IY AH N S,OW V ER R AH L IY AH N S,OW V ER R AH L IY AH N S,3
jersey,JH ER Z IY,JH ER S IY,JH ER S IY,JH ER S IY,3
mezhdumarodnom,M EH Z D UW M AH R AA D N AH M,M EH Z D UW M AA ER AA D N AA M,M EH Z D UW M AA ER AA D N AA M,M EH Z D UW M AA ER AA D N AA M,3
carron,K AE R AH N,K AA R AH N,K AA R AH N,K AA R AH N,3
sublet,S AH B L EH T,S AH B L AH T,S AH B L AH T,S AH B L AH T,3
hino,HH IY N OW,HH IH N OW,HH IH N OW,HH IH N OW,3
baisch,B AY SH,B EY SH,B EY SH CH,B EY SH,3
knowlton,N OW L T AH N,N AA L T AH N,N AA L T AH N,N AA L T AH N,3
claren,K L AE R AH N,K L EH R AH N,K L EH R AH N,K L EH R AH N,3
then,DH EH N,TH AH N,TH AH N,TH AH N,3
pitino,P AH T IY N OW,P IH T AH N OW,P IH T AH N OW,P IH T AH N OW,3
mahal,M AH HH AA L,M AA HH AA L,M AA HH AA L,M AA HH AA L,3
franjo,F R AE N JH OW,F R AH N JH OW,F R AH N JH OW,F R AH N JH OW,3
methazine,M EH TH AH Z IY N,M EH TH EY Z IY N,M EH TH EY Z IY N,M EH TH EY Z IY N,3
unenthusiastic,AH N IH N TH UW Z IY AE S T IH K,AH N EH N TH UW Z IY AE S T IH K,AH N EH N TH UW Z IY AE S T IH K,AH N EH N TH UW Z IY AE S T IH K,3
truro,T R UW R OW,T R UH R OW,T R UH R OW,T R UH R OW,3
pontificated,P AA N T IH F AH K EY T IH D,P AA N T IH F IH K EY T IH D,P AA N T IH F IH K EY T IH D,P AA N T IH F IH K EY T IH D,3
administering,AE D M IH N IH S T ER IH NG,AE D M IH N AH S T ER IH NG,AE D M IH N AH S T ER IH NG,AE D M IH N AH S T ER IH NG,3
karimi,K AA R IY M IY,K EH ER IY M IY,K EH ER IY M IY,K EH ER IY M IY,3
moratorium,M AO R AH T AO R IY AH M,M AO ER AH T AO R IY AH M,M AO ER AH T AO R IY AH M,M AO ER AH T AO R IY AH M,3
schutzman,SH AH T Z M AH N,SH AH T S M AH N,SH CH AH T S M AH N,SH AH T S M AH N,3
rufty,R AH F T IY,R UW F T IY,R UW F T IY,R UW F T IY,3
borsuk,B AO R S AH K,B AO ER S UH K,B AO ER S UH K,B AO ER S UH K,3
brasil,B R AE S AH L,B R EY Z AH L,B R EY Z AH L,B R EY Z AH L,3
transference,T R AE N S F ER AH N S,T R AE N S F IH AH N S,T R AE N S F IH AH N S,T R AE N S F IH AH N S,3
jeered,JH IH R D,JH R ER D,JH R ER D,JH R ER D,3
pollett,P AA L IH T,P AA L EH T,P AA L EH T,P AA L EH T,3
archibald,AA R CH AH B AO L D,AA R K SH IY B AA L D,AA R CH IY B AA L D,AA R K SH IY B AA L D,3
tawes,T AO Z,T AO W Z,T AO W Z,T AO W Z,3
shortens,SH AO R T AH N Z,SH AO R T IH N Z,SH AO R T IH N Z,SH AO R T IH N Z,3
embezzler,IH M B EH Z AH L ER,EH M B EH Z AH L ER,EH M B EH Z AH L ER,EH M B EH Z AH L ER,3
kalinoski,K AH L IH N AW S K IY,K AH L IH N AA S K IY,K AH L IH N AA S K IY,K AH L IH N AA S K IY,3
kasprzyk,K AA S P ER Z IH K,K AE S P ER Z IH K,K AE S P ER Z IH K,K AE S P ER Z IH K,3
gerlich,G ER L IH K,JH ER L IH K,JH ER L IH CH,JH ER L IH K,3
leibrand,L AY B R AE N D,L IY AY B R AE N D,L IY AY B R AE N D,L IY AY B R AE N D,3
carrithers,K AE R IH DH ER Z,K AA R IH TH ER Z,K AA R IH TH ER Z,K AA R IH TH ER Z,3
daiquiri,D AE K ER IY,D IH G AY R IY,D IH G AY R IY,D IH G AY R IY,3
sarsfield,S AA R S F IY L D,S AA R Z F IY L D,S AA R Z F IY L D,S AA R Z F IY L D,3
devincent,D EY V IY N S AH N T,D EH V IH N S EH N T,D EH V IH N S EH N T,D EH V IH N S EH N T,3
picaro,P IY K AA R OW,P IH K AA R OW,P IH K AA R OW,P IH K AA R OW,3
cotyledon,K AO T AH L IY D AH N,K AO T IH L IY D AH N,K AO T IH L IY D AH N,K AO T IH L IY D AH N,3
bugaj,B UW G AH JH,B AH G,B AH G,B AH G,3
sceptre,S EH P T ER,S EH P T R ER,S EH P T R,S EH P T R ER,3
hoben,HH AA B AH N,HH OW B AH N,HH OW B AH N,HH OW B AH N,3
biochemist,B AY OW K EH M AH S T,B AY OW K EH M IH S T,B AY OW CH EH M IH S T,B AY OW K EH M IH S T,3
hettler,HH EH T L ER,HH EH T AH L ER,HH EH T AH L ER,HH EH T AH L ER,3
deaton,D IY T AH N,D EH T AH N,D EH T AH N,D EH T AH N,3
stagnating,S T AE G N EY T IH NG,S T AA G N EY T IH NG,S T AA G N EY T IH NG,S T AA G N EY T IH NG,3
baros,B AA R OW Z,B R OW Z,B R OW Z,B R OW Z,3
alessandro,AA L EY Z AA N D R OW,AH L EH S AA N D R OW,AH L EH S AA N D R OW,AH L EH S AA N D R OW,3
phagan,F EY G AH N,F AA G AH N,F AA G AH N,F AA G AH N,3
sigal,S AY JH AH L,S IH G AH L,S IH G AH L,S IH G AH L,3
ivie,AY V IY,IH V IY,IH V,IH V IY,3
oceangoing,OW SH AH N G OW IH NG,OW SH AH NG G OW IH NG,OW SH AH NG G OW IH NG,OW SH AH NG G OW IH NG,3
galactose,G AH L AE K T OW S,G AE L AE K T OW S,G AE L AE K T OW S,G AE L AE K T OW S,3
goates,G OW EY T S,G OW T S,G OW T S,G OW T S,3
lacourse,L AH K UH R S,L AA K R S,L AA K R S,L AA K R S,3
ordaz,AO R D AA Z,AO ER D AA Z,AO ER D AA Z,AO ER D AA Z,3
hypersensitivity,HH AY P ER S EH N S IH T IH V IH T IY,HH AY P ER S EH N S AH T IH V AH T IY,HH AY P ER S EH N S AH T IH V AH T IY,HH AY P ER S EH N S AH T IH V AH T IY,3
rouch,R AW CH,R CH,R CH,R CH,3
catering,K EY T ER IH NG,K AE T IH IH NG,K AE T IH IH NG,K AE T IH IH NG,3
melanie,M EH L AH N IY,M EH L AA N IY,M EH L AA N,M EH L AA N IY,3
roehrs,R AO R Z,R OW R Z,R OW R Z,R OW R Z,3
glob,G L AA B,G L OW B,G L OW B,G L OW B,3
bouchard,B UW SH AA R D,B AW R D,B AW CH R D,B AW R D,3
joki,JH OW K IY,JH AH K IY,JH AH K IY,JH AH K IY,3
noncompete,N AA N K AH M P IY T,N AA N K AH M P AH T,N AA N K AH M P AH T,N AA N K AH M P AH T,3
gamino,G AA M IY N OW,G EY M IY N OW,G EY M IY N OW,G EY M IY N OW,3
masaya,M AA S AA Y AA,M AA S AH AH,M AA S AH AH,M AA S AH AH,3
sedillo,S EH D IH L OW,S EH D IY L OW,S EH D IY L OW,S EH D IY L OW,3
hasta,HH AE S T AH,HH EY S T AH,HH EY S T AH,HH EY S T AH,3
jurgen,JH ER G AH N,JH ER JH AH N,JH ER JH AH N,JH ER JH AH N,3
kedrowski,K IH D R AO F S K IY,K EH D R AO F S K IY,K EH D R AO F S K IY,K EH D R AO F S K IY,3
krier,K R AY ER,K R ER,K R ER,K R ER,3
labaton,L AE B AH T AH N,L AA B AA T AH N,L AA B AA T AH N,L AA B AA T AH N,3
oldsmar,OW L D Z M AA R,OW L D Z M R,OW L D Z M R,OW L D Z M R,3
deland,D IH L AE N D,D EH L AH N D,D EH L AH N D,D EH L AH N D,3
belgian,B EH L JH AH N,B EH L JH IY AH N,B EH L JH IY AH N,B EH L JH IY AH N,3
benights,B IY N AY T S,B EH N AY T S,B EH N AY T S,B EH N AY T S,3
motherland,M AH DH ER L AE N D,M AH DH ER L AH N D,M AH TH ER L AH N D,M AH DH ER L AH N D,3
disband,D IH S B AE N D,D IH S B AH N D,D IH S B AH N D,D IH S B AH N D,3
opportunities,AA P ER T UW N AH T IY Z,AA P AO ER CH UW N IH T IY Z,AA P AO ER CH UW N IH T IY Z,AA P AO ER CH UW N IH T IY Z,3
cortisol,K AO R T IH S AO L,K AO R T AH S AO L,K AO R T AH S AO L,K AO R T AH S AO L,3
wino,W IY N OW,W IH N OW,W IH N OW,W IH N OW,3
hildemar,HH IH L D IH M ER,HH IH L D M AA R,HH IH L D M AA R,HH IH L D M AA R,3
ceniceros,S EY N IY S EH R OW Z,S EH N IY S EH OW Z,S EH N IY S EH OW Z,S EH N IY S EH OW Z,3
chicagoans,SH AH K AA G OW AH N Z,CH IH K AA G OW N Z,CH IH K AA G OW N Z,CH IH K AA G OW N Z,3
maze,M EY Z,M AH Z,M AH Z,M AH Z,3
frieson,F R IY Z AH N,F R IY S AH N,F R IY S AH N,F R IY S AH N,3
schempf,SH EH M F,SH EH M P F,SH CH EH M P F,SH EH M P F,3
schnurr,SH N ER,SH N R ER,SH CH N R ER,SH N R ER,3
stepmom,S T EH P M AA M,S T EH P M AH M,S T EH P M AH M,S T EH P M AH M,3
douthett,D AW TH IH T,D AW UW DH EH T,D AW UW TH EH T,D AW UW DH EH T,3
wellendorf,W EH L IH N D AO R F,W EH L EH N D AO R F,W EH L EH N D AO R F,W EH L EH N D AO R F,3
ostrem,AA S T R IH M,AA S T R AH M,AA S T R AH M,AA S T R AH M,3
landscaping,L AE N D S K EY P IH NG,L AE N D S K AE P IH NG,L AE N D S K AE P IH NG,L AE N D S K AE P IH NG,3
ethelyn,EH TH IH L IH N,EH TH L IH N,EH TH L IH N,EH TH L IH N,3
jiminez,HH IH M EH N EH Z,JH IH M AY N EH Z,JH IH M AY N EH Z,JH IH M AY N EH Z,3
mccurdy,M AH K ER D IY,M AH K R D IY,M AH K R D IY,M AH K R D IY,3
jagow,Y AA G OW,JH AA G AW,JH AA G AW,JH AA G AW,3
femina,F EH M IH N AH,F IY M AH N AH,F IY M AH N AH,F IY M AH N AH,3
thurstan,TH ER S T AH N,TH ER S T AE N,TH ER S T AE N,TH ER S T AE N,3
freehand,F R IY HH AE N D,F R IY AE N D,F R IY AE N D,F R IY AE N D,3
