Word,Pronunciation,Alignment
alphanumeric,AE L F AH N UW M EH R IH K,"[('a', 'AE'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('a', 'AH'), ('n', 'N'), ('u', 'UW'), ('m', 'M'), ('e', 'EH'), ('r', 'R'), ('i', 'IH'), ('c', 'K')]"
alphaphotographic,AE L F AH F OW T AH G R AE F IH K,"[('a', 'AE'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('a', 'AH'), ('p', '#'), ('h', 'F'), ('o', 'OW'), ('t', 'T'), ('o', 'AH'), ('g', 'G'), ('r', 'R'), ('a', 'AE'), ('p', '#'), ('h', 'F'), ('i', 'IH'), ('c', 'K')]"
alpharel,AE L F ER EH L,"[('a', 'AE'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('a', '#'), ('r', 'ER'), ('e', 'EH'), ('l', 'L')]"
alpharetta,AE L F ER EH T AH,"[('a', 'AE'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('a', '#'), ('r', 'ER'), ('e', 'EH'), ('t', '#'), ('t', 'T'), ('a', 'AH')]"
alphin,AE L F IH N,"[('a', 'AE'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('i', 'IH'), ('n', 'N')]"
alphonse,AE L F AA N Z,"[('a', 'AE'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('o', 'AA'), ('n', 'N'), ('s', 'Z'), ('e', '#')]"
alphonsine,AH L F AA N S IY N,"[('a', 'AH'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('o', 'AA'), ('n', 'N'), ('s', 'S'), ('i', 'IY'), ('n', 'N'), ('e', '#')]"
alphonso,AE L F AA N S OW,"[('a', 'AE'), ('l', 'L'), ('p', '#'), ('h', 'F'), ('o', 'AA'), ('n', 'N'), ('s', 'S'), ('o', 'OW')]"
alpin,AH L P IH N,"[('a', 'AH'), ('l', 'L'), ('p', 'P'), ('i', 'IH'), ('n', 'N')]"
alpine,AE L P AY N,"[('a', 'AE'), ('l', 'L'), ('p', 'P'), ('i', 'AY'), ('n', 'N'), ('e', '#')]"
alpirez,AE L P IH R EH Z,"[('a', 'AE'), ('l', 'L'), ('p', 'P'), ('i', 'IH'), ('r', 'R'), ('e', 'EH'), ('z', 'Z')]"
alpo,AE L P OW,"[('a', 'AE'), ('l', 'L'), ('p', 'P'), ('o', 'OW')]"
alps,AE L P S,"[('a', 'AE'), ('l', 'L'), ('p', 'P'), ('s', 'S')]"
alquist,AE L K W IH S T,"[('a', 'AE'), ('l', 'L'), ('q', '#'), ('u', 'K'), ('$', 'W'), ('i', 'IH'), ('s', 'S'), ('t', 'T')]"
alread,AA L R IY D,"[('a', 'AA'), ('l', 'L'), ('r', 'R'), ('e', 'IY'), ('a', '#'), ('d', 'D')]"
already,AO L R EH D IY,"[('a', 'AO'), ('l', 'L'), ('r', 'R'), ('e', 'EH'), ('a', '#'), ('d', 'D'), ('y', 'IY')]"
alred,AO L R IH D,"[('a', 'AO'), ('l', 'L'), ('r', 'R'), ('e', 'IH'), ('d', 'D')]"
alright,AO L R AY T,"[('a', 'AO'), ('l', 'L'), ('r', 'R'), ('i', 'AY'), ('g', '#'), ('h', '#'), ('t', 'T')]"
alrighty,AO L R AY T IY,"[('a', 'AO'), ('l', 'L'), ('r', 'R'), ('i', 'AY'), ('g', '#'), ('h', '#'), ('t', 'T'), ('y', 'IY')]"
alrosa,AA L R OW S AH,"[('a', 'AA'), ('l', 'L'), ('r', 'R'), ('o', 'OW'), ('s', 'S'), ('a', 'AH')]"
alroy,AH L R OY,"[('a', 'AH'), ('l', 'L'), ('r', 'R'), ('o', 'OY'), ('y', '#')]"
alsace,AE L S AA S,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('a', 'AA'), ('c', 'S'), ('e', '#')]"
alsatian,AE L S EY SH AH N,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('a', 'EY'), ('t', 'SH'), ('i', '#'), ('a', 'AH'), ('n', 'N')]"
alsbrook,AE L Z B R UH K,"[('a', 'AE'), ('l', 'L'), ('s', 'Z'), ('b', 'B'), ('r', 'R'), ('o', '#'), ('o', 'UH'), ('k', 'K')]"
alsbrooks,AE L Z B R UH K S,"[('a', 'AE'), ('l', 'L'), ('s', 'Z'), ('b', 'B'), ('r', 'R'), ('o', '#'), ('o', 'UH'), ('k', 'K'), ('s', 'S')]"
alsbury,AO L Z B EH R IY,"[('a', 'AO'), ('l', 'L'), ('s', 'Z'), ('b', 'B'), ('u', 'EH'), ('r', 'R'), ('y', 'IY')]"
alsdorf,AO L Z D AO R F,"[('a', 'AO'), ('l', 'L'), ('s', 'Z'), ('d', 'D'), ('o', 'AO'), ('r', 'R'), ('f', 'F')]"
alsgaard,AA L Z G AA R D,"[('a', 'AA'), ('l', 'L'), ('s', 'Z'), ('g', 'G'), ('a', '#'), ('a', 'AA'), ('r', 'R'), ('d', 'D')]"
alshelhah,AA L SH EH L HH AH,"[('a', 'AA'), ('l', 'L'), ('s', 'SH'), ('h', '#'), ('e', 'EH'), ('l', 'L'), ('h', 'HH'), ('a', 'AH'), ('h', '#')]"
alsip,AE L S IH P,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('i', 'IH'), ('p', 'P')]"
also,AO L S OW,"[('a', 'AO'), ('l', 'L'), ('s', 'S'), ('o', 'OW')]"
alsobrook,AE L S AH B R UH K,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('o', 'AH'), ('b', 'B'), ('r', 'R'), ('o', '#'), ('o', 'UH'), ('k', 'K')]"
alsobrooks,AE L S AH B R UH K S,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('o', 'AH'), ('b', 'B'), ('r', 'R'), ('o', '#'), ('o', 'UH'), ('k', 'K'), ('s', 'S')]"
alsop,AE L S AA P,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('o', 'AA'), ('p', 'P')]"
alspach,AE L S P AH K,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('p', 'P'), ('a', 'AH'), ('c', 'K'), ('h', '#')]"
alspaugh,AH L S P AO,"[('a', 'AH'), ('l', 'L'), ('s', 'S'), ('p', 'P'), ('a', 'AO'), ('u', '#'), ('g', '#'), ('h', '#')]"
alsthom,AE L S TH AH M,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('t', 'TH'), ('h', '#'), ('o', 'AH'), ('m', 'M')]"
alston,AO L S T AH N,"[('a', 'AO'), ('l', 'L'), ('s', 'S'), ('t', 'T'), ('o', 'AH'), ('n', 'N')]"
alsup,AE L S AH P,"[('a', 'AE'), ('l', 'L'), ('s', 'S'), ('u', 'AH'), ('p', 'P')]"
alta,AA L T AH,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('a', 'AH')]"
altadena,AA L T AH D IY N AH,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('a', 'AH'), ('d', 'D'), ('e', 'IY'), ('n', 'N'), ('a', 'AH')]"
altai,AE L T AY,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('a', '#'), ('i', 'AY')]"
altaic,AE L T EY IH K,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('a', 'EY'), ('i', 'IH'), ('c', 'K')]"
altair,AA L T EH R,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('a', 'EH'), ('i', '#'), ('r', 'R')]"
altamira,AA L T AA M IH R AH,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('a', 'AA'), ('m', 'M'), ('i', 'IH'), ('r', 'R'), ('a', 'AH')]"
altamirano,AA L T AA M IH R AA N OW,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('a', 'AA'), ('m', 'M'), ('i', 'IH'), ('r', 'R'), ('a', 'AA'), ('n', 'N'), ('o', 'OW')]"
altamont,AA L T AH M AO N T,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('a', 'AH'), ('m', 'M'), ('o', 'AO'), ('n', 'N'), ('t', 'T')]"
altamuro,AO L T AH M UH R OW,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('a', 'AH'), ('m', 'M'), ('u', 'UH'), ('r', 'R'), ('o', 'OW')]"
altar,AO L T ER,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('a', '#'), ('r', 'ER')]"
altarpiece,AO L T ER P IY S,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('a', '#'), ('r', 'ER'), ('p', 'P'), ('i', '#'), ('e', 'IY'), ('c', 'S'), ('e', '#')]"
altavista,AO L T AH V IH S T AH,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('a', 'AH'), ('v', 'V'), ('i', 'IH'), ('s', 'S'), ('t', 'T'), ('a', 'AH')]"
altay,AO L T AY,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('a', '#'), ('y', 'AY')]"
altemose,AE L T IH M OW S,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('e', 'IH'), ('m', 'M'), ('o', 'OW'), ('s', 'S'), ('e', '#')]"
altemus,AE L T IH M IH S,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('e', 'IH'), ('m', 'M'), ('u', 'IH'), ('s', 'S')]"
altenburg,AO L T AH N B ER G,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'AH'), ('n', 'N'), ('b', 'B'), ('u', '#'), ('r', 'ER'), ('g', 'G')]"
altenhofen,AE L T IH N HH AH F AH N,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('e', 'IH'), ('n', 'N'), ('h', 'HH'), ('o', 'AH'), ('f', 'F'), ('e', 'AH'), ('n', 'N')]"
alteon,AA L T IY AO N,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('e', 'IY'), ('o', 'AO'), ('n', 'N')]"
alter,AO L T ER,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#')]"
altera,AO L T EH R AH,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'EH'), ('r', 'R'), ('a', 'AH')]"
alteration,AO L T ER EY SH AH N,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
altercation,AA L T ER K EY SH AH N,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('c', 'K'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
altered,AO L T ER D,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', '#'), ('r', '#'), ('e', 'ER'), ('d', 'D')]"
altergott,AE L T ER G AH T,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('g', 'G'), ('o', 'AH'), ('t', '#'), ('t', 'T')]"
altering,AO L T ER IH NG,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
alterman,AO L T ER M AH N,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('m', 'M'), ('a', 'AH'), ('n', 'N')]"
alternacare,AO L T ER N AH K EH R,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'AH'), ('c', 'K'), ('a', 'EH'), ('r', 'R'), ('e', '#')]"
alternate,AO L T ER N AH T,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'AH'), ('t', 'T'), ('e', '#')]"
alternated,AO L T ER N EY T IH D,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'EY'), ('t', 'T'), ('e', 'IH'), ('d', 'D')]"
alternately,AO L T ER N AH T L IY,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'AH'), ('t', 'T'), ('e', '#'), ('l', 'L'), ('y', 'IY')]"
alternating,AO L T ER N EY T IH NG,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'EY'), ('t', 'T'), ('i', 'IH'), ('n', 'NG'), ('g', '#')]"
alternation,AO L T ER N EY SH AH N,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('$', 'EY'), ('$', 'SH'), ('a', 'AH'), ('t', '#'), ('i', '#'), ('o', '#'), ('n', 'N')]"
alternative,AO L T ER N AH T IH V,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'AH'), ('t', 'T'), ('i', 'IH'), ('v', 'V'), ('e', '#')]"
alternatively,AO L T ER N AH T IH V L IY,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'AH'), ('t', 'T'), ('i', 'IH'), ('v', 'V'), ('e', '#'), ('l', 'L'), ('y', 'IY')]"
alternator,AO L T ER N EY T ER,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('n', 'N'), ('a', 'EY'), ('t', 'T'), ('o', '#'), ('r', 'ER')]"
alters,AO L T ER Z,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('e', 'ER'), ('r', '#'), ('s', 'Z')]"
altfest,AA L T F EH S T,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('f', 'F'), ('e', 'EH'), ('s', 'S'), ('t', 'T')]"
althaus,AE L T HH AW S,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('h', 'HH'), ('a', '#'), ('u', 'AW'), ('s', 'S')]"
althaver,AE L TH EY V ER,"[('a', 'AE'), ('l', 'L'), ('t', 'TH'), ('h', '#'), ('a', 'EY'), ('v', 'V'), ('e', 'ER'), ('r', '#')]"
althea,AE L TH IY AH,"[('a', 'AE'), ('l', 'L'), ('t', 'TH'), ('h', '#'), ('e', 'IY'), ('a', 'AH')]"
altherr,AA L TH ER,"[('a', 'AA'), ('l', 'L'), ('t', 'TH'), ('h', '#'), ('e', 'ER'), ('r', '#'), ('r', '#')]"
althoff,AE L T HH AO F,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('h', 'HH'), ('o', 'AO'), ('f', '#'), ('f', 'F')]"
althorp,AE L TH AO R P,"[('a', 'AE'), ('l', 'L'), ('t', 'TH'), ('h', '#'), ('o', 'AO'), ('r', 'R'), ('p', 'P')]"
although,AO L DH OW,"[('a', 'AO'), ('l', 'L'), ('t', 'DH'), ('h', '#'), ('o', 'OW'), ('u', '#'), ('g', '#'), ('h', '#')]"
althouse,AO L T HH AW S,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('h', 'HH'), ('o', 'AW'), ('u', '#'), ('s', 'S'), ('e', '#')]"
altice,AA L T IH S,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('i', 'IH'), ('c', 'S'), ('e', '#')]"
altier,AO L T IY ER,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('i', 'IY'), ('e', 'ER'), ('r', '#')]"
altieri,AA L T IH R IY,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('i', 'IH'), ('e', '#'), ('r', 'R'), ('i', 'IY')]"
altima,AA L T IH M AH,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('i', 'IH'), ('m', 'M'), ('a', 'AH')]"
altimeter,AE L T IH M AH T ER,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('i', 'IH'), ('m', 'M'), ('e', 'AH'), ('t', 'T'), ('e', 'ER'), ('r', '#')]"
altimetry,AE L T IH M AH T R IY,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('i', 'IH'), ('m', 'M'), ('e', 'AH'), ('t', 'T'), ('r', 'R'), ('y', 'IY')]"
altimorano,AA L T IY M AO R AA N OW,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('i', 'IY'), ('m', 'M'), ('o', 'AO'), ('r', 'R'), ('a', 'AA'), ('n', 'N'), ('o', 'OW')]"
altiplano,AE L T AH P L AA N OW,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('i', 'AH'), ('p', 'P'), ('l', 'L'), ('a', 'AA'), ('n', 'N'), ('o', 'OW')]"
altitude,AE L T AH T UW D,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('i', 'AH'), ('t', 'T'), ('u', 'UW'), ('d', 'D'), ('e', '#')]"
altizer,AE L T AY Z ER,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('i', 'AY'), ('z', 'Z'), ('e', 'ER'), ('r', '#')]"
altland,AE L T L AH N D,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('l', 'L'), ('a', 'AH'), ('n', 'N'), ('d', 'D')]"
altman,AO L T M AH N,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('m', 'M'), ('a', 'AH'), ('n', 'N')]"
altmann,AO L T M AH N,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('m', 'M'), ('a', 'AH'), ('n', '#'), ('n', 'N')]"
altmeyer,AE L T M AY ER,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('m', 'M'), ('e', '#'), ('y', 'AY'), ('e', 'ER'), ('r', '#')]"
alto,AE L T OW,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('o', 'OW')]"
altobelli,AA L T OW B EH L IY,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('o', 'OW'), ('b', 'B'), ('e', 'EH'), ('l', '#'), ('l', 'L'), ('i', 'IY')]"
altogether,AO L T AH G EH DH ER,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('o', 'AH'), ('g', 'G'), ('e', 'EH'), ('t', 'DH'), ('h', '#'), ('e', 'ER'), ('r', '#')]"
altoid,AA L T OY D,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('o', 'OY'), ('i', '#'), ('d', 'D')]"
altom,AH L T AA M,"[('a', 'AH'), ('l', 'L'), ('t', 'T'), ('o', 'AA'), ('m', 'M')]"
altomare,AA L T OW M AA R IY,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('o', 'OW'), ('m', 'M'), ('a', 'AA'), ('r', 'R'), ('e', 'IY')]"
alton,AO L T AH N,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('o', 'AH'), ('n', 'N')]"
altoona,AE L T UW N AH,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('o', '#'), ('o', 'UW'), ('n', 'N'), ('a', 'AH')]"
altra,AA L T R AH,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('r', 'R'), ('a', 'AH')]"
altron,AO L T R AA N,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('r', 'R'), ('o', 'AA'), ('n', 'N')]"
altruism,AE L T R UW IH Z AH M,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('r', 'R'), ('u', 'UW'), ('i', 'IH'), ('s', 'Z'), ('$', 'AH'), ('m', 'M')]"
altruistic,AO L T R UW IH S T IH K,"[('a', 'AO'), ('l', 'L'), ('t', 'T'), ('r', 'R'), ('u', 'UW'), ('i', 'IH'), ('s', 'S'), ('t', 'T'), ('i', 'IH'), ('c', 'K')]"
altschiller,AO L CH IH L ER,"[('a', 'AO'), ('l', 'L'), ('t', '#'), ('s', '#'), ('c', 'CH'), ('h', '#'), ('i', 'IH'), ('l', '#'), ('l', 'L'), ('e', 'ER'), ('r', '#')]"
altschul,AE L CH AH L,"[('a', 'AE'), ('l', 'L'), ('t', '#'), ('s', '#'), ('c', 'CH'), ('h', '#'), ('u', 'AH'), ('l', 'L')]"
altschuler,AE L CH Y UW L ER,"[('a', 'AE'), ('l', 'L'), ('t', '#'), ('s', '#'), ('c', 'CH'), ('h', 'Y'), ('u', 'UW'), ('l', 'L'), ('e', 'ER'), ('r', '#')]"
altshuler,AE L CH Y UW L ER,"[('a', 'AE'), ('l', 'L'), ('t', 'CH'), ('s', '#'), ('h', 'Y'), ('u', 'UW'), ('l', 'L'), ('e', 'ER'), ('r', '#')]"
altucher,AE L T AH K ER,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('u', 'AH'), ('c', 'K'), ('h', '#'), ('e', 'ER'), ('r', '#')]"
alturas,AA L T UH R AH S,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('u', 'UH'), ('r', 'R'), ('a', 'AH'), ('s', 'S')]"
altus,AE L T AH S,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('u', 'AH'), ('s', 'S')]"
altvater,AE L T V AH T ER,"[('a', 'AE'), ('l', 'L'), ('t', 'T'), ('v', 'V'), ('a', 'AH'), ('t', 'T'), ('e', 'ER'), ('r', '#')]"
altzheimer,AA L T S HH AY M ER,"[('a', 'AA'), ('l', 'L'), ('t', 'T'), ('z', 'S'), ('h', 'HH'), ('e', '#'), ('i', 'AY'), ('m', 'M'), ('e', 'ER'), ('r', '#')]"
alum,AE L AH M,"[('a', 'AE'), ('l', 'L'), ('u', 'AH'), ('m', 'M')]"
alumax,AE L UW M AE K S,"[('a', 'AE'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('a', 'AE'), ('$', 'K'), ('x', 'S')]"
alumbaugh,AH L AH M B AO,"[('a', 'AH'), ('l', 'L'), ('u', 'AH'), ('m', 'M'), ('b', 'B'), ('a', 'AO'), ('u', '#'), ('g', '#'), ('h', '#')]"
alumina,AH L UW M AH N AH,"[('a', 'AH'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('a', 'AH')]"
aluminio,AE L UW M IY N IY OW,"[('a', 'AE'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('i', 'IY'), ('n', 'N'), ('i', 'IY'), ('o', 'OW')]"
aluminium,AH L UW M IH N AH M,"[('a', 'AH'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('i', 'IH'), ('n', 'N'), ('i', '#'), ('u', 'AH'), ('m', 'M')]"
aluminize,AH L UW M AH N AY Z,"[('a', 'AH'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'AY'), ('z', 'Z'), ('e', '#')]"
aluminized,AH L UW M AH N AY Z D,"[('a', 'AH'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('i', 'AY'), ('z', 'Z'), ('e', '#'), ('d', 'D')]"
aluminosilicate,AH L UW M AH N OW S IH L AH K EY T,"[('a', 'AH'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('o', 'OW'), ('s', 'S'), ('i', 'IH'), ('l', 'L'), ('i', 'AH'), ('c', 'K'), ('a', 'EY'), ('t', 'T'), ('e', '#')]"
aluminum,AH L UW M AH N AH M,"[('a', 'AH'), ('l', 'L'), ('u', 'UW'), ('m', 'M'), ('i', 'AH'), ('n', 'N'), ('u', 'AH'), ('m', 'M')]"
alumna,AH L AH M N AH,"[('a', 'AH'), ('l', 'L'), ('u', 'AH'), ('m', 'M'), ('n', 'N'), ('a', 'AH')]"
alumni,AH L AH M N AY,"[('a', 'AH'), ('l', 'L'), ('u', 'AH'), ('m', 'M'), ('n', 'N'), ('i', 'AY')]"
alumnus,AH L AH M N AH S,"[('a', 'AH'), ('l', 'L'), ('u', 'AH'), ('m', 'M'), ('n', 'N'), ('u', 'AH'), ('s', 'S')]"
alun,EY L AH N,"[('a', 'EY'), ('l', 'L'), ('u', 'AH'), ('n', 'N')]"
alura,AA L UH R AH,"[('a', 'AA'), ('l', 'L'), ('u', 'UH'), ('r', 'R'), ('a', 'AH')]"
alusuisse,AE L Y UW S W IH S,"[('a', 'AE'), ('l', 'L'), ('$', 'Y'), ('u', 'UW'), ('s', 'S'), ('u', 'W'), ('i', 'IH'), ('s', '#'), ('s', 'S'), ('e', '#')]"
alva,AE L V AH,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('a', 'AH')]"
alvah,AE L V AA,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('a', 'AA'), ('h', '#')]"
alvan,AE L V AH N,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('a', 'AH'), ('n', 'N')]"
alvarado,AE L V ER AA D OW,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('a', '#'), ('r', 'ER'), ('a', 'AA'), ('d', 'D'), ('o', 'OW')]"
alvardo,AA L V AA R D OW,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('a', 'AA'), ('r', 'R'), ('d', 'D'), ('o', 'OW')]"
alvare,AE L V EY R,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('a', 'EY'), ('r', 'R'), ('e', '#')]"
alvarenga,AA L V AA R EH NG G AH,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('a', 'AA'), ('r', 'R'), ('e', 'EH'), ('n', 'NG'), ('g', 'G'), ('a', 'AH')]"
alvares,AA L V AA R EH S,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('a', 'AA'), ('r', 'R'), ('e', 'EH'), ('s', 'S')]"
alvarez,AE L V ER EH Z,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('a', '#'), ('r', 'ER'), ('e', 'EH'), ('z', 'Z')]"
alvaro,AH L V AA R OW,"[('a', 'AH'), ('l', 'L'), ('v', 'V'), ('a', 'AA'), ('r', 'R'), ('o', 'OW')]"
alvear,AA L V IH R,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('e', 'IH'), ('a', '#'), ('r', 'R')]"
alveolar,AE L V IY AH L ER,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('e', 'IY'), ('o', 'AH'), ('l', 'L'), ('a', '#'), ('r', 'ER')]"
alveoli,AE L V IY AH L AY,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('e', 'IY'), ('o', 'AH'), ('l', 'L'), ('i', 'AY')]"
alverez,AA L V EH R EH Z,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('e', 'EH'), ('r', 'R'), ('e', 'EH'), ('z', 'Z')]"
alvero,AE L V EH R OW,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('e', 'EH'), ('r', 'R'), ('o', 'OW')]"
alverson,AA L V ER S AH N,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('e', 'ER'), ('r', '#'), ('s', 'S'), ('o', 'AH'), ('n', 'N')]"
alverton,AA L V ER T AH N,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('e', 'ER'), ('r', '#'), ('t', 'T'), ('o', 'AH'), ('n', 'N')]"
alves,AA L V EH S,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('e', 'EH'), ('s', 'S')]"
alvey,AE L V IY,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('e', 'IY'), ('y', '#')]"
alvidrez,AA L V IY D R EH Z,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('i', 'IY'), ('d', 'D'), ('r', 'R'), ('e', 'EH'), ('z', 'Z')]"
alvin,AE L V IH N,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('i', 'IH'), ('n', 'N')]"
alvina,AE L V AY N AH,"[('a', 'AE'), ('l', 'L'), ('v', 'V'), ('i', 'AY'), ('n', 'N'), ('a', 'AH')]"
alvino,AA L V IY N OW,"[('a', 'AA'), ('l', 'L'), ('v', 'V'), ('i', 'IY'), ('n', 'N'), ('o', 'OW')]"
